,subj,idx,session,pres,corr,corrw2v
410,soe113,15,-42,1,0.08362649544100738,0.051798274684822766
411,soe114,15,-42,1,0.08792270405512873,0.05929474088182477
412,soe115,15,-42,1,0.07112783030997862,0.04403554613567736
413,soe116,15,-42,1,0.08537658387388763,0.052207074492051336
414,soe117,15,-42,1,0.07919713075983774,0.03564512961616958
415,soe118,15,-42,1,0.09889553327839906,0.059787454028638984
416,soe120,15,-42,1,0.07589343308749075,0.04852183529927604
417,soe121,15,-42,1,0.08670117601557834,0.05267865678833426
418,soe122,15,-42,1,0.08941107778846788,0.06187135770636084
419,soe123,15,-42,1,0.08840431044385154,0.048352772044720015
420,soe124,15,-42,1,0.07736748112750316,0.045123824379865535
421,soe125,15,-42,1,0.11354035611647303,0.0860579987270049
422,soe126,15,-42,1,0.07689811166691685,0.042529291728219114
423,soe128,15,-42,1,0.04511707107107809,0.030121978556920663
424,soe129,15,-42,1,0.08407985730525319,0.06368875657173949
425,soe130,15,-42,1,0.19541965534626243,0.12003156868109276
426,soe131,15,-42,1,0.055407138357812705,0.037137946866659714
427,soe133,15,-42,1,0.0658235036876784,0.04703935926993305
428,soe134,15,-42,1,0.07988626307866024,0.052816484011628285
429,soe135,15,-42,1,0.11318365478329968,0.06093867740713369
430,soe136,15,-42,1,0.17247908843179838,0.09949297056720222
431,soe137,15,-42,1,0.1236999099059266,0.08767851531873753
432,soe138,15,-42,1,0.22644485506201087,0.14160904063565596
433,soe139,15,-42,1,0.04552263193870397,0.02844552957813945
434,soe140,15,-42,1,0.08844669700529219,0.04997435145053078
435,soe141,15,-42,1,0.12012018321163337,0.07041507527760324
436,soe142,15,-42,1,0.08082959840751902,0.04629024589603406
437,soe143,15,-42,1,0.08447034663741651,0.06722491525181955
438,soe144,15,-42,1,0.1275962229921723,0.08475273962511518
439,soe145,15,-42,1,0.0835942989804408,0.05995709808221517
440,soe101,1235,568,1,0.14980012908339538,0.0958383785361149
441,soe103,1235,568,1,0.23106212981536578,0.1252081577836943
442,soe104,1235,568,1,0.1527762429366861,0.08059549400455217
443,soe105,1235,568,1,0.1674421216116663,0.09585067709229464
444,soe106,1235,568,1,0.17015941757929048,0.09775581479340756
445,soe108,1235,568,1,0.09435733416963836,0.0639776013106044
446,soe109,1235,568,1,0.10959223792076962,0.06573201074487334
447,soe110,1235,568,1,0.13801979636399261,0.08744896135729158
448,soe111,1235,568,1,0.19594864746025523,0.10369418383536669
449,soe112,1235,568,1,0.07474616362211142,0.039531750765468505
450,soe113,1235,568,1,0.09980797709751169,0.06502384706011359
451,soe114,1235,568,1,0.12977785049743326,0.08288637586044147
452,soe115,1235,568,1,0.13648255002523213,0.08387312204629922
453,soe116,1235,568,1,0.11069574932096923,0.09056804851194801
454,soe117,1235,568,1,0.13850649102015622,0.06683454860247208
455,soe118,1235,568,1,0.13072487251918435,0.08270057464707152
456,soe120,1235,568,1,0.12416318407139804,0.07303491394018534
457,soe121,1235,568,1,0.15336772665702242,0.0909225638820299
458,soe122,1235,568,1,0.10151942535825709,0.07119428365252473
459,soe123,1235,568,1,0.15369311865374918,0.08402889789442954
460,soe124,1235,568,1,0.11775025569459684,0.07471151813245733
461,soe125,1235,568,1,0.1587505313268561,0.11021566725224455
462,soe126,1235,568,1,0.1263942241903458,0.07546260417015263
463,soe128,1235,568,1,0.06999709589591281,0.04673088075050255
464,soe129,1235,568,1,0.1166622036590342,0.08186950785032308
465,soe130,1235,568,1,0.28928136273867006,0.18028499953974922
466,soe131,1235,568,1,0.08956126971229662,0.06151031009987517
467,soe133,1235,568,1,0.09419382214896573,0.06232412689950428
468,soe134,1235,568,1,0.11566329478341394,0.07352557239693974
469,soe135,1235,568,1,0.13589335403689198,0.07352350672809639
470,soe136,1235,568,1,0.22813190313925788,0.13083536843360913
471,soe137,1235,568,1,0.2240506987131865,0.14821237803412726
472,soe138,1235,568,1,0.3074887346311121,0.17931566493636203
473,soe139,1235,568,1,0.06838431102385685,0.04348297582451419
474,soe140,1235,568,1,0.1385840292523039,0.08344296051523044
475,soe141,1235,568,1,0.16384037883103145,0.10404916628333945
476,soe142,1235,568,1,0.15329894042658318,0.08712415321095175
477,soe143,1235,568,1,0.125977763752887,0.09929985627915663
478,soe144,1235,568,1,0.23887140181560917,0.1512633879057461
479,soe145,1235,568,1,0.15006725586637026,0.09973204866623135
480,soe101,13,-43,1,0.10770914609432394,0.06656823966757253
481,soe103,13,-43,1,0.1939581789047076,0.10347751555071154
482,soe104,13,-43,1,0.11490943919667393,0.05614996320737137
483,soe105,13,-43,1,0.11378044217320683,0.061679970386073056
484,soe106,13,-43,1,0.11651776296213233,0.0747131521508526
485,soe108,13,-43,1,0.06319093236582296,0.04204493728115324
486,soe109,13,-43,1,0.08407502087205293,0.05494318259199121
487,soe110,13,-43,1,0.08940958154122504,0.05075131750638626
488,soe111,13,-43,1,0.14309315476316462,0.07640510516480092
489,soe112,13,-43,1,0.03637405996843871,0.026073821254093923
490,soe113,13,-43,1,0.06204235788581616,0.041792262836043786
491,soe114,13,-43,1,0.09707051406823279,0.06494385717692314
492,soe115,13,-43,1,0.12288830509382061,0.07452449717188687
493,soe116,13,-43,1,0.0831238023650761,0.062059360368350955
494,soe117,13,-43,1,0.11389793502689609,0.06047764950999653
495,soe118,13,-43,1,0.10987630475500726,0.06707178715049147
496,soe120,13,-43,1,0.08271673176101807,0.05420725980097545
497,soe121,13,-43,1,0.10410353962834444,0.0673752193812022
498,soe122,13,-43,1,0.06355869304547172,0.04676398885731221
499,soe123,13,-43,1,0.122532567052605,0.0717736375965255
500,soe124,13,-43,1,0.0919398247141566,0.05630663931891009
501,soe125,13,-43,1,0.10161255341600006,0.06060007818651881
502,soe126,13,-43,1,0.0938872779641571,0.049671152080804304
503,soe128,13,-43,1,0.06225542487180777,0.03937464516173034
504,soe129,13,-43,1,0.09969697152333143,0.06734449004280325
505,soe130,13,-43,1,0.1892950622587639,0.1294858299624038
506,soe131,13,-43,1,0.07392659264770586,0.04669835341184739
507,soe133,13,-43,1,0.0772094520106742,0.05343927211447515
508,soe134,13,-43,1,0.09740562126611906,0.06514214467006148
509,soe135,13,-43,1,0.08160400534239799,0.053080255125734305
510,soe136,13,-43,1,0.13454661980943097,0.07610090617921646
511,soe137,13,-43,1,0.1488298190888079,0.1018890371783335
512,soe138,13,-43,1,0.19370483753189124,0.11126351910379774
513,soe139,13,-43,1,0.046311235236698875,0.0276296901323147
514,soe140,13,-43,1,0.1253633425403754,0.07410056643024769
515,soe141,13,-43,1,0.1291852286538236,0.0866641586748475
516,soe142,13,-43,1,0.12543501090067452,0.07222147598900121
517,soe143,13,-43,1,0.07530875503851568,0.07005861166900945
518,soe144,13,-43,1,0.16034082395891644,0.09832394362400886
519,soe145,13,-43,1,0.11343139448190266,0.07868573715255614
520,soe101,26,-37,2,0.06455254714486136,0.03141237186037951
521,soe103,26,-37,2,0.0665291887129633,0.034889217469471226
522,soe104,26,-37,2,0.05870923123710787,0.035168320399366265
523,soe105,26,-37,2,0.046498659080755886,0.024167715209707046
524,soe106,26,-37,2,0.0774856123627806,0.04062202573981144
525,soe108,26,-37,2,0.028070228677577885,0.01878398406738094
526,soe109,26,-37,2,0.027832728526251075,0.015578086619015136
527,soe110,26,-37,2,0.03534678017984323,0.022419454517124585
528,soe111,26,-37,2,0.04525717919359895,0.02662676289214153
529,soe112,26,-37,2,0.0264469582508433,0.018617448413118964
530,soe113,26,-37,2,0.025003249069761493,0.015784694354301045
531,soe114,26,-37,2,0.026010903540393097,0.022891369681969177
532,soe115,26,-37,2,0.023860813705330986,0.012886611876183429
533,soe116,26,-37,2,0.026104438746947883,0.021466649066192948
534,soe117,26,-37,2,0.014731144317077966,0.0049398706354637865
535,soe118,26,-37,2,0.028610056182793095,0.024331370841276012
536,soe120,26,-37,2,0.027726720581011215,0.017425277834862436
537,soe121,26,-37,2,0.027546296164964384,0.016916954606828336
538,soe122,26,-37,2,0.012952974120583698,0.007006570125015331
539,soe123,26,-37,2,0.049860362119008364,0.02592334863935418
540,soe124,26,-37,2,0.04123135622194815,0.02564784757985911
541,soe125,26,-37,2,0.06510219602111239,0.04873377740489019
542,soe126,26,-37,2,0.036883971259442615,0.02024017080182742
543,soe128,26,-37,2,0.016382334483187544,0.007484749075385896
544,soe129,26,-37,2,0.019958508592566378,0.023317784999991226
545,soe130,26,-37,2,0.1496035816806972,0.08961761870062539
546,soe131,26,-37,2,0.013268498460803396,0.011081660381720286
547,soe133,26,-37,2,0.028896877188486256,0.016249930326533078
548,soe134,26,-37,2,0.046812200610504666,0.019983782040788205
549,soe135,26,-37,2,0.037710848556438366,0.02293344899595067
550,soe136,26,-37,2,0.07883115859891617,0.04187214512710149
551,soe137,26,-37,2,0.11663163539408604,0.07474218755585631
552,soe138,26,-37,2,0.13172390092643668,0.07140710599922005
553,soe139,26,-37,2,0.022639340999217814,0.01044209251155075
554,soe140,26,-37,2,0.027212829651369667,0.01349949768332763
555,soe141,26,-37,2,0.053070822945300515,0.03521019626190805
556,soe142,26,-37,2,0.06442561421761676,0.03686560898496623
557,soe143,26,-37,2,0.05966450285866072,0.04025400032787309
558,soe144,26,-37,2,0.11492185082607516,0.0804515382752509
559,soe145,26,-37,2,0.0407086460241597,0.02759604603726421
560,soe101,35,-32,1,0.05080550842929301,0.032092203336328964
561,soe103,35,-32,1,0.12642792514406567,0.06505272703674025
562,soe104,35,-32,1,0.057516794993643115,0.033913471864789047
563,soe105,35,-32,1,0.06265268684494077,0.040233032683049105
564,soe106,35,-32,1,0.1003110117608273,0.06142054163653349
565,soe108,35,-32,1,0.05026225135644733,0.0382407284508522
566,soe109,35,-32,1,0.04137884112791143,0.02328995009050916
567,soe110,35,-32,1,0.06914059971869739,0.04344825204433237
568,soe111,35,-32,1,0.09243947588105851,0.04353325533304952
569,soe112,35,-32,1,0.06823114795373864,0.030747431922552502
570,soe113,35,-32,1,0.0509690731156906,0.03872202040339884
571,soe114,35,-32,1,0.07013263988637479,0.044196366408495225
572,soe115,35,-32,1,0.06939343683450963,0.04457532887451644
573,soe116,35,-32,1,0.06414611221505931,0.04618308785652413
574,soe117,35,-32,1,0.08132605609540061,0.03642167558762002
575,soe118,35,-32,1,0.07462946334267861,0.05123429502214285
576,soe120,35,-32,1,0.04860749050172989,0.02550767400051101
577,soe121,35,-32,1,0.08253449391929313,0.05572351934747235
578,soe122,35,-32,1,0.05136348970812394,0.04381580501046517
579,soe123,35,-32,1,0.06692641208256062,0.03294231430573023
580,soe124,35,-32,1,0.0781103629378947,0.04942027605101277
581,soe125,35,-32,1,0.08883990480196269,0.06138915363763716
582,soe126,35,-32,1,0.058298844517151144,0.03404226205866003
583,soe128,35,-32,1,0.02301322789522057,0.011531926230815018
584,soe129,35,-32,1,0.05482744049760567,0.039473891045335656
585,soe130,35,-32,1,0.20387139312339234,0.11908846365624326
586,soe131,35,-32,1,0.05322553565679768,0.037240006661273736
587,soe133,35,-32,1,0.06930397219344302,0.042816092215839464
588,soe134,35,-32,1,0.06953535010918152,0.04783334770475123
589,soe135,35,-32,1,0.09214266763650548,0.0528297595859527
590,soe136,35,-32,1,0.14320225440498252,0.06780839581250732
591,soe137,35,-32,1,0.13701284571661437,0.09465982546802403
592,soe138,35,-32,1,0.20911741317342053,0.12102833895821712
593,soe139,35,-32,1,0.04205498687800181,0.03173400174671819
594,soe140,35,-32,1,0.051476419454547874,0.03786586868560699
595,soe141,35,-32,1,0.11930035884120366,0.06432014602920468
596,soe142,35,-32,1,0.07587685498609341,0.0475872147089893
597,soe143,35,-32,1,0.0897303809027334,0.0701902431337563
598,soe144,35,-32,1,0.17868995630886875,0.10413706385440678
599,soe145,35,-32,1,0.08527480252394185,0.051600034458448546
600,soe101,46,-27,2,0.024044973803012373,0.012973264158368128
601,soe103,46,-27,2,0.05325873484586912,0.026159524343061544
602,soe104,46,-27,2,0.0335935804470904,0.02179037653979103
603,soe105,46,-27,2,0.029481984406203244,0.020749070726187674
604,soe106,46,-27,2,0.07236265739492011,0.03784265785531293
605,soe108,46,-27,2,0.022695415330237396,0.012033384426715766
606,soe109,46,-27,2,0.030057761056167646,0.021834649152508687
607,soe110,46,-27,2,0.031174995987405786,0.016587245900391272
608,soe111,46,-27,2,0.046570310615127036,0.02651886871638733
609,soe112,46,-27,2,0.03633874413573091,0.027443559905249416
610,soe113,46,-27,2,0.025860877437638694,0.018192923253490197
611,soe114,46,-27,2,0.023802603647042467,0.021595515313103164
612,soe115,46,-27,2,0.030073154971829146,0.018912535141671547
613,soe116,46,-27,2,0.025455454961636904,0.01616517390422192
614,soe117,46,-27,2,0.025184532078881387,0.015275795775935613
615,soe118,46,-27,2,0.018548492031029075,0.018904534633670745
616,soe120,46,-27,2,0.0175275942744256,0.008991968557428266
617,soe121,46,-27,2,0.0310592384147116,0.022046145617956578
618,soe122,46,-27,2,0.01738504528777306,0.02223156284943745
619,soe123,46,-27,2,0.026136154975985357,0.01788261262627314
620,soe124,46,-27,2,0.03980969531637534,0.02668159103700877
621,soe125,46,-27,2,0.05355314956002039,0.029833237395939922
622,soe126,46,-27,2,0.031579486191964434,0.014947298909137438
623,soe128,46,-27,2,0.012811573427615018,0.006541775085938699
624,soe129,46,-27,2,0.007979114643108,0.013868913764585019
625,soe130,46,-27,2,0.1100899188527849,0.06840585364591692
626,soe131,46,-27,2,0.01370122448031213,0.0070248540485864566
627,soe133,46,-27,2,0.03326797605429467,0.015676106679941945
628,soe134,46,-27,2,0.047656997089219014,0.03340477295474606
629,soe135,46,-27,2,0.03734418820526133,0.02469096087165211
630,soe136,46,-27,2,0.07228557414078904,0.039704977789922956
631,soe137,46,-27,2,0.12124416561624707,0.07382588282903635
632,soe138,46,-27,2,0.08943219708035667,0.05580455444798411
633,soe139,46,-27,2,0.015055768697039453,0.007087874899027384
634,soe140,46,-27,2,0.015929613186575677,0.010105658718806962
635,soe141,46,-27,2,0.05990791272875184,0.03212256224908421
636,soe142,46,-27,2,0.04835731768139858,0.019766461189524794
637,soe143,46,-27,2,0.04230735183166557,0.036941360953113005
638,soe144,46,-27,2,0.09817285145391928,0.06322199790591222
639,soe145,46,-27,2,0.027015155637020127,0.01753920063756308
640,soe101,56,-22,2,0.028435506659767355,0.014848051309600803
641,soe103,56,-22,2,0.07803270066366956,0.041602505984692346
642,soe104,56,-22,2,0.036263271371890164,0.025190317009738714
643,soe105,56,-22,2,0.06365960073738276,0.037105187586942874
644,soe106,56,-22,2,0.063008691642763,0.037979640104774066
645,soe108,56,-22,2,0.038903828802832816,0.0264712736428052
646,soe109,56,-22,2,0.012138985982149865,0.0046897056566307755
647,soe110,56,-22,2,0.04369951705958673,0.022968503057395014
648,soe111,56,-22,2,0.08989546358726744,0.05124890704378304
649,soe112,56,-22,2,0.04609745589526911,0.027551070857669346
650,soe113,56,-22,2,0.039659091710907264,0.03215840682048705
651,soe114,56,-22,2,0.03709364130486616,0.026319008582361823
652,soe115,56,-22,2,0.013743529494989764,0.01101899786183204
653,soe116,56,-22,2,0.0420965233064441,0.027048378880717476
654,soe117,56,-22,2,0.021487059346331522,0.012565704272378256
655,soe118,56,-22,2,0.03221536113329834,0.0323611515132821
656,soe120,56,-22,2,0.021951203344754047,0.014783737654602457
657,soe121,56,-22,2,0.02948993358707338,0.019772417471641407
658,soe122,56,-22,2,0.04424981392972782,0.03830423179666387
659,soe123,56,-22,2,0.04531030927972408,0.021921523138017766
660,soe124,56,-22,2,0.05178815340477023,0.03233138633586224
661,soe125,56,-22,2,0.08224359855425473,0.053201010975547414
662,soe126,56,-22,2,0.036041882215009174,0.01790827547149972
663,soe128,56,-22,2,0.01005513586823493,0.003692278515082736
664,soe129,56,-22,2,0.019953934654528216,0.01972720274395715
665,soe130,56,-22,2,0.1626444747897665,0.08847134133179979
666,soe131,56,-22,2,0.02426442517481727,0.011944530515410055
667,soe133,56,-22,2,0.04291989366727998,0.023129455268390157
668,soe134,56,-22,2,0.05199152758858424,0.035382403715143076
669,soe135,56,-22,2,0.08570476562709,0.04649023864917629
670,soe136,56,-22,2,0.10586370075026869,0.055679209165940095
671,soe137,56,-22,2,0.11228908994385448,0.075387501601095
672,soe138,56,-22,2,0.16057191763609002,0.10081974077010857
673,soe139,56,-22,2,0.02521525009229618,0.010755653165544792
674,soe140,56,-22,2,0.028084625018394718,0.014722502737123845
675,soe141,56,-22,2,0.0632221190070894,0.0299548553657224
676,soe142,56,-22,2,0.037319501605996806,0.01882114012608139
677,soe143,56,-22,2,0.06643922135555753,0.04939671786362479
678,soe144,56,-22,2,0.10416843057857075,0.07139882975361249
679,soe145,56,-22,2,0.033102058115447135,0.021754533108251043
680,soe101,101,1,1,0.05084396891797869,0.03556759587750027
681,soe103,101,1,1,0.06590164287501482,0.03930113096402821
682,soe104,101,1,1,0.04196855887931085,0.02763517252597272
683,soe105,101,1,1,0.048063810695358505,0.021164166340514518
684,soe106,101,1,1,0.024797059913052307,0.018702310146754185
685,soe108,101,1,1,0.024773814581194556,0.012675829302687151
686,soe109,101,1,1,0.03592923107281621,0.01704463700951032
687,soe110,101,1,1,0.03544116256820753,0.01897916779312756
688,soe111,101,1,1,0.06275646115753741,0.03446648626841395
689,soe112,101,1,1,0.01870851533863663,0.01971812419428523
690,soe113,101,1,1,0.017691275440095668,0.013562589758229623
691,soe114,101,1,1,0.02393495864356919,0.013574500981431802
692,soe115,101,1,1,0.03213262523241711,0.02199379061059201
693,soe116,101,1,1,0.03125792224836128,0.017854245662295463
694,soe117,101,1,1,0.028379979890702914,0.015519656766469447
695,soe118,101,1,1,0.036302501091379724,0.018146400598797293
696,soe120,101,1,1,0.02850732536138816,0.01646758439941782
697,soe121,101,1,1,0.04496065730560777,0.02256531907772203
698,soe122,101,1,1,0.03246073780578174,0.021900753872288937
699,soe123,101,1,1,0.0329935073979145,0.018917567195462764
700,soe124,101,1,1,0.02665802374678256,0.012798026861412114
